序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
326,,134558542080,13164196,"账号已注销",,保密,"一个给钱就杀人的杀手洗个屁呀！要不是火枪手，他师弟就死在他手里了，捏着别人的把柄吸血的小人而已。",2022-10-22 18:11:51,3,0,"",新疆,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
327,134558542080,134804729552,3670817,"梦彦丶",6,保密,"你认真看了没",2022-10-24 15:32:58,0,1,"ヾ(°ｰ°ヾ)^?啊咧？",江西,是,http://i2.hdslb.com/bfs/face/e96aa6d0e013268d2a7afea352fe692481c1cc2c.jpg
328,134558542080,135075173184,7340968,"低调的沉默者",6,男,"你是真的不看剧情",2022-10-26 19:35:17,0,0,"",北京,是,https://i1.hdslb.com/bfs/face/88838afc6442965a4cfe96d0f837887740895685.jpg
329,134558542080,142748437728,446236511,"夏日冰木宁",5,保密,"如果他真是一个只知道吸血的小人，那他师弟为什么要给他挡枪？",2022-12-20 20:22:16,0,0,"略略略",江苏,否,https://i2.hdslb.com/bfs/face/537807015ecac5482835a836b5e4a74fe35886d7.jpg
330,,134547155952,74348605,"啊丿哒哒哒",6,保密,"会根据这些武器特性，做成游戏就太有意思了",2022-10-22 16:37:53,0,1,"",福建,是,http://i1.hdslb.com/bfs/face/2bc6e39586c309d8d5295f9fb86d84e69f4f1f4e.jpg
331,,134539883648,37377569,"种苹果",5,保密,"沈练真肉",2022-10-22 15:27:27,0,0,"",广东,是,http://i2.hdslb.com/bfs/face/f01170b9c04457f87a6765d4e1d9c4eaedf2e6fb.jpg
332,,134467903808,352243449,"梧桐叶落知秋意_",6,男,"最喜欢戚继光戚少保了[打call][打call][打call]",2022-10-21 23:28:15,0,0,"天命孤星 独望苍穹 无所待而游无穷 如此逍遥一生 可谓 真仙人 ~",湖南,否,https://i0.hdslb.com/bfs/face/0ca22908fae9d1e09988bbf9204d0911bc20592c.jpg
333,,134456344160,272125607,"半点两点半",5,保密,"@黄小啊阿帅帅 我一键三连了",2022-10-21 22:00:47,0,0,"",湖北,否,http://i2.hdslb.com/bfs/face/9f1d9fff3ab096cb4d8d4b071f66de3eac8ea5c6.jpg
334,,134443713904,59364883,"lin嘉茉",5,女,"这么多细节…",2022-10-21 20:21:27,0,0,"",广东,否,https://i1.hdslb.com/bfs/face/20adf088e099d2eeb0884558280631940708ac06.jpg
335,,134430278096,20725351,"老师父最后的碎挂面",6,保密,"你这个视频是我看过用AI配音却最用心的一个了。  细节满满的。",2022-10-21 18:37:32,1,36,"",辽宁,否,https://i1.hdslb.com/bfs/face/7004dc9dba7c47e6a80fa815f5d9c538d73dbdd5.jpg
336,134430278096,134479379072,4019724,"asap加藤鹰",5,男,"是啊 我直接看傻了",2022-10-22 01:21:49,0,0,"",四川,否,http://i0.hdslb.com/bfs/face/21df0f114b674466d436641e23d15c034b3666d8.jpg
337,,134424959568,2110697,"旁白尽兴时",4,保密,"细啊 太细了 细狗都没你细",2022-10-21 17:57:35,0,0,"",广西,否,http://i2.hdslb.com/bfs/face/252278eca8d8ead5093a5328d01c593226925ef8.jpg
338,,134417062064,386756406,"一段然",6,保密,"肘发、膝发、足发、王德发，谁发的弹幕笑死我了[大笑][大笑][大笑]",2022-10-21 16:45:01,0,0,"实业兴邦",广东,是,https://i0.hdslb.com/bfs/face/09810fb416b78958fab3e8d4ed1ea797726cc8a2.jpg
339,,134322059728,1469234896,"彭小咸鱼",5,保密,"日本从我们那里学去太多东西了，原来跆拳道是我们的唐手",2022-10-20 20:09:37,0,0,"",广东,是,https://i1.hdslb.com/bfs/face/525967d714ee924f2d35abbdcea866fc8958336b.jpg
340,,134317419184,285883400,"无何若",6,男,"兵器知识非常丰富，讲解与影片内容相得益彰，大大拓展了观影体验。",2022-10-20 19:29:53,0,0,"",湖北,否,https://i2.hdslb.com/bfs/face/02d4f29f3a89e6951c23ffef9deb4084b994cbb5.jpg
341,,134123332816,20443405,"牛奶秋刀叔",6,男,"注意看，这个丁修叫小帅",2022-10-19 00:42:15,0,0,"",内蒙古,否,https://i1.hdslb.com/bfs/face/41bf62f9dc10e23b182816d11969326e447c2963.jpg
342,,134108694592,3489882,"6枚硬币实在太多",6,男,"丁修能以步克骑，还是十几个，这个战斗力放到漫威里也得是个强化人啊。",2022-10-18 22:35:07,0,0,"网络给了人们勇气",山东,是,https://i0.hdslb.com/bfs/face/a6396d677f543a173aa11f3d3cd2943a96121dda.jpg
343,,134096755936,35156436,"墨子易心",6,男,"解说不错，涨知识",2022-10-18 20:58:44,0,0,"文玩、园艺up，十年核桃玩家，喜欢种东西，文玩。去年夏天租了个大棚。moyi9559",未知,是,https://i0.hdslb.com/bfs/face/d416f7250a13c5dd515a16bbd3a38dac645f9756.jpg
344,,134088244640,439240855,"北卡罗来纳州巡警泰勒",5,保密,"这最后断桥决战的时候要是丁修在，估计全润完了",2022-10-18 19:45:05,0,3,"",浙江,否,https://i1.hdslb.com/bfs/face/197bc5c23603ee4e9cabe13f40dc7bff47429b70.jpg
345,,134018352640,19048816,"神秘大粗腿丶",6,男,"张二河:我谢谢你啊[辣眼睛]",2022-10-18 03:07:08,0,0,"谁招我！我干谁！欢迎键盘侠前来对线！",辽宁,否,https://i1.hdslb.com/bfs/face/2064f344523fd4e7ed6c3d762234b785e26ec1c8.jpg
346,,134002890608,13054448,"老希_",6,男,"戚家军宇宙太猛了",2022-10-17 23:15:34,0,0,"",广东,否,https://i2.hdslb.com/bfs/face/6bbb7f940909a692b293012d4d78ef9e88ed2ea1.jpg
347,,133999183152,488732930,"看上去不太好弄",6,男,"都做合集了，改剪的地方剪一下呀，妥妥踏踏的，干嘛水时长呢？[脱单doge][脱单doge]",2022-10-17 22:46:29,0,0,"",新疆,是,https://i2.hdslb.com/bfs/face/139d8eb610ee5c697b0f22ffd06eca656af5d068.jpg
348,,133907025984,12159236,"老子手板心煎鱼给你吃",6,男,"好像1  2部不是前后关系  就是同背景关系  属于两个故事  就像lol皮肤和游戏故事一样",2022-10-17 03:26:31,0,0,"The night is moist, the ground wet,air still, trees silent",四川,否,https://i2.hdslb.com/bfs/face/376f18f634cceafb41f1dcd35b7bcead88c13223.jpg
349,,133895874064,285717703,"Mashmallo",6,男,"丁白缨是丁修和丁显(靳一川)的师父，靳一川如果没有肺病很强的",2022-10-17 00:02:13,0,0,"",辽宁,是,https://i1.hdslb.com/bfs/face/9dd0a28e445ea0e5f8b9371cf332dd668eaa10bf.jpg
350,,133881741664,1285798574,"辰中甲",4,保密,"勇气，想到文天祥的以一敌七，不畏惧才是最可怕。进攻，进攻，进攻",2022-10-16 22:06:29,2,0,"",广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
351,133881741664,134416391792,277918086,"simonsf123",6,保密,"可惜虞允文压根看不上这个嘴炮！",2022-10-21 16:39:12,0,0,"就算是一张卫生纸,一条内裤都有它本身的用处",四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
352,133881741664,134416453984,277918086,"simonsf123",6,保密,"不上峨眉二十岁，重来为堕山河泪。 
今人不见虞允文，古人曾有樊若水。 
长江阔处平如驿，况此介然衣带窄。 
欲从谪仙捉月去，安得然犀照神物",2022-10-21 16:40:32,0,0,"就算是一张卫生纸,一条内裤都有它本身的用处",四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
353,,133874055472,358023100,"嘟嘟嘟_小火车",6,保密,"最后的BGM是什么求求啦，有没有人救一救孩子",2022-10-16 20:59:47,0,0,"",四川,否,http://i1.hdslb.com/bfs/face/e38b920aaeb657a15f6b0833896efe90b18ccc30.jpg
354,,133848869728,397054022,"科技小黑控",5,保密,"幸亏赵婧中不会罗家枪法要不沈炼就挂了",2022-10-16 17:17:35,0,0,"",河北,否,https://i2.hdslb.com/bfs/face/e5cb2f45e257f337c756521bd73c56814443c8c0.jpg
355,,133828450496,356549606,"水果太妃什锦苏心糖",6,保密,"有人说刀砍不断?呵呵呵",2022-10-16 13:58:07,1,0,"点进来，你就为了看个个性签名 ?",广东,是,https://i2.hdslb.com/bfs/face/088293412d1912b41e753c8f8839c47193a7144f.webp
356,133828450496,133828562688,356549606,"水果太妃什锦苏心糖",6,保密,"求杠",2022-10-16 13:58:21,0,0,"点进来，你就为了看个个性签名 ?",广东,是,https://i2.hdslb.com/bfs/face/088293412d1912b41e753c8f8839c47193a7144f.webp
357,,133808975504,187630309,"脚滑的豆包",6,保密,"我最爱的几部电影之一，看了好几遍了",2022-10-16 11:18:31,0,0,"走着瞧 时间会证明一切",内蒙古,否,https://i1.hdslb.com/bfs/face/ce72006d9cb708a9de91535f333623bed7eb8e51.jpg
358,,133808571088,12829204,"麻麻说要有爱",6,保密,"原来有这么多细节啊 我一开始看这部剧还觉得剧情蛮扯的 很糙",2022-10-16 11:15:26,0,0,"",湖南,否,https://i1.hdslb.com/bfs/face/276f110ed1c1b7032058d0c706a20fbd468c8a4c.jpg
359,,133612790176,2076307280,"他娜塔莎",2,保密,"比比37分钟？为什么不搞个2个小时的",2022-10-14 20:48:39,1,0,"",上海,否,https://i2.hdslb.com/bfs/face/dfbc9bc832bfd9916e071782094a6b747e91aeef.jpg
360,133612790176,134299777856,437281141,"英俊的肥肥",6,保密,"版权费你来给",2022-10-20 16:51:10,0,0,"成为6级的B                                                             站用户",四川,是,https://i1.hdslb.com/bfs/face/74335280585009a828b65cfbc214497aa4410a97.jpg
361,,133524010032,347472266,"那就开直升机吧",5,男,"最后的背景音乐是啥，有没有知道的好兄弟[大笑]",2022-10-14 00:54:05,2,0,"“我曾触摸过星辰，见证过数千个太阳的光芒，而如今，我却被着优雅蒙蔽了双眼，所以，我的目标，又怎能，不黑暗！”",山西,是,https://i2.hdslb.com/bfs/face/880bf5bf1d1e59b8aa5dc8a1f12a00ce4eb7086b.jpg
362,133524010032,133752417168,1835731770,"哥哥我啊可是个好人",5,保密,"so far away",2022-10-15 21:59:56,0,1,"",广东,否,https://i0.hdslb.com/bfs/face/65509f7cfdf2bac678014bfb320ba660cc9f6b8b.jpg
363,133524010032,133782928288,57680651,"黄金三镖客111",6,保密,"Children of the Dark",2022-10-16 03:44:54,0,1,"",海南,否,http://i1.hdslb.com/bfs/face/b77debe342af71ba5881a77a1274bb85a4d37619.jpg
364,,133507294128,319516016,"不要椰冻",5,男,"刷了不下二十遍，不知道会不会有第三遍",2022-10-13 22:28:43,0,0,"",江苏,否,https://i2.hdslb.com/bfs/face/17e9d8f3d10273a4c21eb85a57a57890ff24b996.jpg
365,,133504922128,386048553,"生如-秋叶",5,男,"我只能说，戚继光真战神",2022-10-13 22:10:35,0,0,"流光容易把人抛",重庆,是,http://i0.hdslb.com/bfs/face/d9b4d26c2249106298fdab35f35f513b4a218e65.jpg
366,,133502675344,386048553,"生如-秋叶",5,男,"医馆老家伙就是下毒了",2022-10-13 21:52:27,0,0,"流光容易把人抛",重庆,是,http://i0.hdslb.com/bfs/face/d9b4d26c2249106298fdab35f35f513b4a218e65.jpg
367,,133501184304,386048553,"生如-秋叶",5,男,"不带血槽就是艺术品，扎进去拔不出来",2022-10-13 21:41:04,0,1,"流光容易把人抛",重庆,是,http://i0.hdslb.com/bfs/face/d9b4d26c2249106298fdab35f35f513b4a218e65.jpg
368,,133494722080,87930099,"唐朝果仁",6,保密,"丁修以步打骑，1v13，那是关张、李嗣业这些历史猛将级别的。。。首先所有的前提是力量惊人",2022-10-13 20:45:15,0,0,"~~~~~~",广东,是,https://i0.hdslb.com/bfs/face/7ef3a3f3bf4e6e94a718a1e327945176063f17a4.jpg
369,,133494299200,87930099,"唐朝果仁",6,保密,"60斤的狼牙棒。。减个0差不多。。。",2022-10-13 20:42:37,0,0,"~~~~~~",广东,是,https://i0.hdslb.com/bfs/face/7ef3a3f3bf4e6e94a718a1e327945176063f17a4.jpg
370,,133494247440,87930099,"唐朝果仁",6,保密,"一本正经的胡说八道哈哈哈哈哈哈，不过说的不错。",2022-10-13 20:41:17,0,0,"~~~~~~",广东,是,https://i0.hdslb.com/bfs/face/7ef3a3f3bf4e6e94a718a1e327945176063f17a4.jpg
371,,133427888464,349204386,"Bashanrain",6,保密,"专业",2022-10-13 09:24:35,0,0,"夏雨虽大，实不凉也。秋雨虽小，实则凉矣",广东,否,https://i0.hdslb.com/bfs/face/83cee4ca26218b820a08ebea0e34d98a29875904.jpg
372,,133416960128,493337007,"三余無夣生",6,男,"轻骑兵遇上重甲骑兵都是被碾压的份  遑论以步战骑  所以丁修是真的恐怖",2022-10-13 03:35:38,0,0,"",陕西,否,https://i0.hdslb.com/bfs/face/451b453f778c4d76d33a9c30af4775df3f26f505.jpg
373,,133410185152,271491089,"丶沉默的小橙子",6,保密,"张震是真帅啊",2022-10-13 00:45:44,0,0,"",河南,是,https://i2.hdslb.com/bfs/face/3bf7ba7cb5fd1a73e4372f62561d4dc75cc5ef48.jpg
374,,133408635472,30838085,"小小小小小小小小小苏",6,男,"这种真刀真枪的干架不比纯特效瞎眼的流量剧好看？",2022-10-13 00:27:33,0,0,"",四川,否,https://i2.hdslb.com/bfs/face/5c5e3f08c53a5e34e712e5d9976d58a7de0e00e4.jpg
375,,133406066704,1170583556,"今晚大宝健",5,保密,"这么假的电影不知道各位看着有啥劲",2022-10-13 00:01:25,1,0,"",重庆,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
376,133406066704,135565863328,1001336477,"落叶亦隐",5,保密,"你看过的电影又有多少是真实的呢?[微笑]",2022-10-30 16:13:41,0,0,"愿你变作彩霞，飞到我梦里～",重庆,否,https://i2.hdslb.com/bfs/face/497ab2c7cdcd2cba6fe079f21ca58e5cffb122d0.jpg
377,,133394360144,1852806467,"秦岭渭水源",4,保密,"仔细看了丁白缨的那一招，原来在鞭杆的基本功，五阴七手中就有几乎一样的动作，只是多数人没有学会实战用法罢了。",2022-10-12 22:24:29,0,0,"",甘肃,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
378,,133394265024,1459235717,"吾乃人而已",3,保密,"满满都是细节！",2022-10-12 22:23:57,0,0,"",广东,否,https://i2.hdslb.com/bfs/face/b9aec8c1d91f83a8271399b604b628190f0efeeb.jpg
379,,133379711984,387807408,"sinxii",6,保密,"@永劫无间官方 全都安排上！[吃瓜]",2022-10-12 20:18:21,0,0,"",广西,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
380,,133376871632,23879568,"疯狂的小树",5,男,"没看过但知道加钱居士[脱单doge]",2022-10-12 19:54:14,0,0,"",浙江,否,http://i0.hdslb.com/bfs/face/2c3a364cf409a85b4c651a6afbf6ffe22208c654.jpg
381,,133358434160,232806793,"陈晨辰先生",4,保密,"丁白樱 好飒啊[脱单doge]",2022-10-12 17:05:25,0,0,"",广东,否,https://i1.hdslb.com/bfs/face/f2145df0be70a5a6ee99f04f45b95fc55653b222.jpg
382,,133356228400,180364113,"水佳奈海子BG5AYK",6,保密,"up讲的真好，很期待能看到原声讲解[打call]",2022-10-12 16:41:35,0,0,"",浙江,是,https://i0.hdslb.com/bfs/face/f45809af0b1bcb46100f514b5ba7ff808f503560.jpg
383,,133352965632,65612995,"虎纹猫Tomia",5,保密,"好好的解说，被bgm和ai配音给毁了！[捂脸]",2022-10-12 16:01:52,0,0,"可爱萌宠日常分享",湖北,是,https://i1.hdslb.com/bfs/face/059e7ae3efad596d4ba9e2b40d692fca812c9032.jpg
384,,133340346928,20188914,"kuohai1110",5,保密,"凑齐四个重骑兵就打不过",2022-10-12 13:22:05,0,0,"",云南,否,https://i0.hdslb.com/bfs/face/a29b8dd90d134fe103912fcce2a25816761da0fc.jpg
385,,133340078064,20188914,"kuohai1110",5,保密,"明个吧啦，对呀打王打吧的",2022-10-12 13:20:28,0,0,"",云南,否,https://i0.hdslb.com/bfs/face/a29b8dd90d134fe103912fcce2a25816761da0fc.jpg
386,,133338386112,20188914,"kuohai1110",5,保密,"怎么，外交官，来了，果然都是我喜欢的电影",2022-10-12 13:03:19,0,0,"",云南,否,https://i0.hdslb.com/bfs/face/a29b8dd90d134fe103912fcce2a25816761da0fc.jpg
387,,133337897984,20188914,"kuohai1110",5,保密,"呜呜呜 江湖文化博大精深",2022-10-12 12:58:39,0,0,"",云南,否,https://i0.hdslb.com/bfs/face/a29b8dd90d134fe103912fcce2a25816761da0fc.jpg
388,,133335230880,327516215,"超萌之艾露达",5,保密,"你当九品上是假的？",2022-10-12 12:34:32,0,0,"",广西,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
389,,133331342112,262559706,"小魔兽哦哦",6,保密,"up，你怎么一直以为以为的[呆]",2022-10-12 12:00:16,0,0,"(●･◡･●)ﾉ
",陕西,否,https://i0.hdslb.com/bfs/face/372966cfd2fc2d3ea87adbdf3e4e695bc3b08eb3.jpg
390,,133324734240,678240308,"山沟练题家",5,男,"丁修以步战骑的背景音乐是啥",2022-10-12 10:46:04,0,0,"",上海,否,https://i2.hdslb.com/bfs/face/1b0c76e0b55bced9eaeeb7394e2485d70814f7a2.jpg
391,,133323241088,393158301,"月下独酌小沐灵",4,保密,"剑豪呀",2022-10-12 10:29:30,0,0,"作死的青春，像狐狸一样逍遥自在",湖南,否,https://i0.hdslb.com/bfs/face/80f779d704da086b142966ed058ad9db452cf34a.jpg
392,,133290768768,15420679,"碎碎鸣鸣",6,保密,"这么多牛逼的演员啊",2022-10-11 23:11:56,0,0,"",湖北,否,https://i1.hdslb.com/bfs/face/abc613c9a601b096b859fc5b925adff478fac891.jpg
393,,133285252208,350419214,"一个机智的少年丶",4,保密,"这苗刀夜莺，再用戚家刀法大开大合，感觉对拼就是无敌的啊",2022-10-11 22:27:14,0,0,"",山东,否,http://i0.hdslb.com/bfs/face/36f6c927bd7e128e55d85b0a94732b3dfb3d7b96.jpg
394,,133284740704,392951469,"工厂电工枫哥",4,男,"zai在b站一直很少留言点赞，服了，我看电影原来是看了个寂寞。要不是up主解说，我真不知道电影里面有这么多细节的。也佩服这片子拍的这么走心。点赞，手工点赞",2022-10-11 22:22:37,0,1,"长沙某厂机电维修工一枚，活跃于长沙以及浏阳地区，电工电路维修，商用设备维修",湖南,否,https://i0.hdslb.com/bfs/face/69d0a1e62d6be284ee25f423cd391959f1f2f05a.jpg
395,,133270731920,441581138,"2035向东的高铁",4,保密,"瘦马，措辞不当哦",2022-10-11 20:21:24,0,0,"",陕西,是,https://i2.hdslb.com/bfs/face/bf895af9cd89bab41496ce3856052e415fe7552d.jpg
396,,133270682816,1870831999,"账号已注销",,保密,"这个解说也太用心了，幸苦。最近我正好在看绣春刀，张震太帅",2022-10-11 20:20:47,0,0,"",浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
397,,133268433664,251347798,"我在修仙界卖二手灵石",5,男,"润了",2022-10-11 20:00:39,0,0,"种种情愫皆当断，
往事如烟俱忘却。",四川,否,https://i1.hdslb.com/bfs/face/fd4dacd4fefa1d2f380b791bed35ac7feda58c5a.jpg
398,,133244582272,16766792,"緣o歌",5,女,"小伙子你懂得 有点多呀[打call][打call][吃瓜]",2022-10-11 16:08:17,0,0,"夏天画下的一束光",贵州,是,https://i2.hdslb.com/bfs/face/64bdb8a185451b9828f8c2e1e9fe414f45a36069.jpg
399,,133243488224,270740111,"幽幽南珊",5,女,"听这个解说，有看以前武侠小说的感觉",2022-10-11 15:55:16,0,0,"事已至此，先吃饭吧！",广东,是,https://i2.hdslb.com/bfs/face/a2f49d7833faffc89654dd426c031b4b394573e8.jpg
400,,133241830112,472734378,"地球ol玩家墨玄",4,男,"辛苦了",2022-10-11 15:34:18,0,0,"四件不会后悔做的事:陪家人，读书，旅行，健身

陪家人一起过平凡的幸福生活挺好的",河北,否,https://i0.hdslb.com/bfs/face/5b45fb8d7f0c7c6548b5ccb626f67bac80ea775a.jpg
401,,133239373040,385908739,"ok咔咔邦",5,男,"牛啊",2022-10-11 15:00:26,0,0,"",福建,否,http://i0.hdslb.com/bfs/face/e475b52af8c5467a4a3d620fd6ae7b529c8cc9a1.jpg
402,,133236879504,31349062,"forestswolf",5,保密,"这个文案做得太好了，从讲解里面学到了很多东西。",2022-10-11 14:30:12,0,0,"",甘肃,否,http://i0.hdslb.com/bfs/face/acfa8fa6ad2806e704b64523ec9d6c0935d43f7f.jpg
403,,133223166048,95969079,"骑猪放虎哼哼唧唧",3,保密,"比巴拉赵靖忠[滑稽]",2022-10-11 12:08:16,0,0,"",河北,否,https://i0.hdslb.com/bfs/face/318897959ee1df7f6a9c46ae47071286a1443226.jpg
404,,133205553552,436654588,"雨季两三天",5,保密,"你这哪是深度解析，不就是剪辑加剧情介绍？从抖音扎到b站还是你，可恶",2022-10-11 08:38:46,1,0,"",上海,否,https://i1.hdslb.com/bfs/face/8c181b025dc161493d1cc1881d541a09c9f30fb1.jpg
405,133205553552,207547472416,237579060,"Neetix",6,男,"看了两分钟还评论上了，逆天",2024-02-11 15:48:14,0,0,"“我们甚至失去了黄昏的颜色  当蓝色的夜坠落在世界时”",云南,否,https://i0.hdslb.com/bfs/face/226f633b83da417bb2a5eb391d46a1ce2eaa4bae.jpg
406,,133194523840,259947527,"秦哥很拉风",3,保密,"我喜欢那个女的",2022-10-11 01:51:00,0,0,"",新疆,否,https://i2.hdslb.com/bfs/face/2d4f82a6eddc94387c5e29fb5c65175c823f37f2.jpg
407,,133194428976,36298213,"zwL_K",5,保密,"早知道这么长就先睡觉了[冷]",2022-10-11 01:47:34,0,0,"缘分像一本书，翻得不经意会错过，读得太认真会流泪。",河南,否,https://i1.hdslb.com/bfs/face/8d91eaeff2b42e14af373d7cc9e45f6d0f5e48e6.jpg
408,,133184180336,695208074,"顾道悯生",3,保密,"一天是贼，一辈子是贼",2022-10-10 23:37:49,0,0,"银花映火树，独行无归处
​昂首上高楼，望尽天涯路",新疆,否,https://i2.hdslb.com/bfs/face/cc5b810d9ae71b09eafc1de38463f2c208cd45f9.jpg
409,,133173943056,11291527,"火车爆胎AC",6,保密,"绣春刀真是我近20年来看过最好的国产武侠电影",2022-10-10 22:14:52,0,1,"",广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
410,,133172491184,1921758,"大PP么么哒",6,保密,"求解说丁修1对13时的北京BGM[脱单doge]",2022-10-10 22:02:52,1,0,"",江苏,否,https://i0.hdslb.com/bfs/face/34b93ddc8665383f0bf5c66e133817a722c37a1f.jpg
411,133172491184,133304956000,57680651,"黄金三镖客111",6,保密,"Children of the Dark",2022-10-12 02:02:28,0,0,"",海南,否,http://i1.hdslb.com/bfs/face/b77debe342af71ba5881a77a1274bb85a4d37619.jpg
412,,133165986016,2832423,"吾识字的薯仔",6,保密,"戚大将军冷兵器的神！",2022-10-10 21:07:53,0,0,"",广东,是,https://i0.hdslb.com/bfs/face/1c208c752f2c9a6ac3c0008108dde1178e419f91.jpg
413,,133165797984,531794089,"陕西师范大学中文系",4,保密,"7.6的高分[脱单doge]",2022-10-10 21:06:29,0,0,"",陕西,否,http://i1.hdslb.com/bfs/face/f6bfaef66145abd85b6d31531c72b7a4349e28fd.jpg
414,,133163188528,492010353,"修行在凡间",3,保密,"这两部电影真的是近年武侠剧天花板。细节真的是太强了",2022-10-10 20:43:59,0,1,"",陕西,是,https://i0.hdslb.com/bfs/face/06c85cd878dd4c765daf9e695c779e3a11ffdf8d.jpg
415,,133143889840,434714426,"迟桑红",5,男,"有没有可能丁修恨得不是师弟成了锦衣卫，只是恨他师弟没有带上自己",2022-10-10 17:53:52,0,1,"双手一撑 与世无争",重庆,否,https://i2.hdslb.com/bfs/face/b4c0417d0c957b595b63038cff0874a9c5afea86.jpg
416,,133139057872,258998592,"无夏洛洛",6,保密,"那一段:“啦啦啦啦”的女声吟唱是什么BGM啊，求一手",2022-10-10 17:04:59,1,0,"Darlin'夢が叶ったの",广西,是,http://i0.hdslb.com/bfs/face/3b162bdf0f987e75d7c4870e776808f92a5e053a.jpg
417,133139057872,133305005120,57680651,"黄金三镖客111",6,保密,"Children of the Dark",2022-10-12 02:02:36,0,0,"",海南,否,http://i1.hdslb.com/bfs/face/b77debe342af71ba5881a77a1274bb85a4d37619.jpg
418,,133136907152,335337418,"斯摩尔豪",5,男,"只能说路阳牛逼",2022-10-10 16:41:10,0,0,"今天想请假",山西,否,https://i1.hdslb.com/bfs/face/28c11857ddf92c85e7a7997e941343d8e1d1d00d.jpg
419,,133135499600,62428329,"良好公民刘先生",6,男,"比巴拉泡泡糖！",2022-10-10 16:25:24,0,1,"这个up主正在思考要做一期有意义的视频。",广西,否,https://i0.hdslb.com/bfs/face/b580bad6fbc5a612ae1c3944cbddda46d13ad9a8.jpg
420,,133117054064,403792005,"集安",6,男,"up主讲得很好，太爱了 这个系列看了好多次 每次都很爽  up主加油 已投币",2022-10-10 12:45:14,0,0,"",山西,否,https://i0.hdslb.com/bfs/face/0b7fe7086d1a966b12e16e33d671c6797aad247e.jpg
421,,133115303280,1634889,"x550xt",6,保密,"这个男人是不是叫小帅？😁",2022-10-10 12:30:47,0,1,"",浙江,否,https://i0.hdslb.com/bfs/face/d2e94cef7c7ead1291877843b1ece346710898f1.jpg
422,,133108072960,1488745495,"夕pyh",5,保密,"因为解说喜欢上一部电影",2022-10-10 11:22:55,0,0,"",陕西,否,https://i1.hdslb.com/bfs/face/bf12cf8e04684018d7585c444d94efd57846aab7.jpg
423,,133108135472,1615611617,"人微莫劝人",5,保密,"萨尔许汉之伤",2022-10-10 11:22:36,0,0,"",广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
424,,133107788544,633939756,"咕瓜咕瓜瓜瓜",5,男,"@永劫无间官方",2022-10-10 11:19:19,0,0,"",江西,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
425,,133105869984,1593813835,"水墨ぁ",3,保密,"霍去病，打野第一人[笑哭]",2022-10-10 11:00:09,1,0,"",广东,否,https://i1.hdslb.com/bfs/face/9a83802c9b942bc3237f0b14694f5cc99451fa4b.jpg
426,133105869984,133105877440,1593813835,"水墨ぁ",3,保密,"还是肉核",2022-10-10 11:00:24,0,0,"",广东,否,https://i1.hdslb.com/bfs/face/9a83802c9b942bc3237f0b14694f5cc99451fa4b.jpg
427,,133103709152,431558723,"国漫崛起的见证者",6,男,"我突然想到个东西。视频里的刀法、唐手都是中华文化的瑰宝。我们这一代人应该发扬光大的。我们这一代应该肩负起这个责任。而不是是去学跆拳道什么的，而是去学唐手之类的东西。",2022-10-10 10:31:01,0,0,"",辽宁,是,https://i2.hdslb.com/bfs/face/f22923f418325fa2dbb5917435415ac12e853499.jpg
428,,133103617024,1608685132,"瑶月戎华",5,保密,"这部剧的缺点就是杨幂",2022-10-10 10:29:19,0,0,"",福建,否,https://i1.hdslb.com/bfs/face/5cd7a91854e0bae7c886a0f6b442871a3b81722e.jpg
429,,133103067280,240702194,"一小窝",6,女,"所以丁白缨一开始为什么要“攻击”锦衣卫啊",2022-10-10 10:22:24,0,0,"好啦，毕竟我这么可爱。",河南,是,https://i2.hdslb.com/bfs/face/a1e270ba396ff27cc5726d227c5d69399e6e777e.jpg
430,,133102815520,1608685132,"瑶月戎华",5,保密,"卢剑星死的最憋屈，被抓之后被砍头了",2022-10-10 10:18:56,0,0,"",福建,否,https://i1.hdslb.com/bfs/face/5cd7a91854e0bae7c886a0f6b442871a3b81722e.jpg
431,,133102600224,8476077,"winglao",6,保密,"太棒了",2022-10-10 10:16:51,0,0,"",广东,是,https://i0.hdslb.com/bfs/face/e49a1c98eea70c5221a7dfddaad34edbf174e3d0.jpg
432,,133101838176,49816193,"Sharo_k",6,女,"讲解得真牛，不知不觉看完了，一键三连都觉得对不起这质量",2022-10-10 10:08:27,0,3,"我大银魂",四川,否,https://i2.hdslb.com/bfs/face/f151d902f9076a2e0d84dc08f940697955ae4243.jpg
